ID,Name,Type,Episodes,Aired,Members,Scores
52991,Sousou no Frieren,TV,28,Sep 2023 - Mar 2024,"1,089,617 members",9.3
5114,Fullmetal Alchemist: Brotherhood,TV,64,Apr 2009 - Jul 2010,"3,507,677 members",9.1
9253,Steins;Gate,TV,24,Apr 2011 - Sep 2011,"2,686,894 members",9.07
38524,Shingeki no Kyojin Season 3 Part 2,TV,10,Apr 2019 - Jul 2019,"2,431,574 members",9.05
60022,One Piece Fan Letter,TV Special,1,Oct 2024 - Oct 2024,"104,168 members",9.05
28977,Gintama°,TV,51,Apr 2015 - Mar 2016,"663,359 members",9.05
39486,Gintama: The Final,Movie,1,Jan 2021 - Jan 2021,"167,765 members",9.04
11061,Hunter x Hunter (2011),TV,148,Oct 2011 - Sep 2014,"3,006,879 members",9.03
9969,Gintama',TV,51,Apr 2011 - Mar 2012,"586,616 members",9.02
15417,Gintama': Enchousen,TV,13,Oct 2012 - Mar 2013,"342,717 members",9.02
820,Ginga Eiyuu Densetsu,OVA,110,Jan 1988 - Mar 1997,"342,203 members",9.01
41467,Bleach: Sennen Kessen-hen,TV,13,Oct 2022 - Dec 2022,"629,124 members",9.0
34096,Gintama.,TV,12,Jan 2017 - Mar 2017,"332,766 members",8.98
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,TV,13,Apr 2022 - Jun 2022,"1,022,375 members",8.98
42938,Fruits Basket: The Final,TV,13,Apr 2021 - Jun 2021,"523,201 members",8.95
4181,Clannad: After Story,TV,24,Oct 2008 - Mar 2009,"1,239,337 members",8.93
918,Gintama,TV,201,Apr 2006 - Mar 2010,"1,111,725 members",8.93
28851,Koe no Katachi,Movie,1,Sep 2016 - Sep 2016,"2,466,832 members",8.93
35180,3-gatsu no Lion 2nd Season,TV,22,Oct 2017 - Mar 2018,"421,835 members",8.91
2904,Code Geass: Hangyaku no Lelouch R2,TV,25,Apr 2008 - Sep 2008,"1,864,733 members",8.91
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,1,Jul 2013 - Jul 2013,"252,385 members",8.9
37491,Gintama. Shirogane no Tamashii-hen - Kouhan-sen,TV,14,Jul 2018 - Oct 2018,"213,554 members",8.88
19,Monster,TV,74,Apr 2004 - Sep 2005,"1,223,325 members",8.88
54492,Kusuriya no Hitorigoto,TV,24,Oct 2023 - Mar 2024,"606,812 members",8.87
51535,Shingeki no Kyojin: The Final Season - Kanketsu-hen,TV Special,2,Mar 2023 - Nov 2023,"759,564 members",8.87
35247,Owarimonogatari 2nd Season,TV Special,7,Aug 2017 - Aug 2017,"419,957 members",8.86
37987,Violet Evergarden Movie,Movie,1,Sep 2020 - Sep 2020,"670,193 members",8.85
59571,Shingeki no Kyojin Movie: Kanketsu-hen - The Last Attack,Movie,1,Nov 2024 - Nov 2024,"41,073 members",8.83
32281,Kimi no Na wa.,Movie,1,Aug 2016 - Aug 2016,"2,884,421 members",8.83
40682,Kingdom 3rd Season,TV,26,Apr 2020 - Oct 2021,"118,352 members",8.83
58514,Kusuriya no Hitorigoto 2nd Season,TV,24,Jan 2025 -,"267,650 members",8.82
49387,Vinland Saga Season 2,TV,24,Jan 2023 - Jun 2023,"735,240 members",8.81
36838,Gintama. Shirogane no Tamashii-hen,TV,12,Jan 2018 - Mar 2018,"226,484 members",8.81
58567,Ore dake Level Up na Ken Season 2: Arise from the Shadow,TV,13,Jan 2025 - Mar 2025,"536,440 members",8.79
31758,Kizumonogatari III: Reiketsu-hen,Movie,1,Jan 2017 - Jan 2017,"489,371 members",8.78
37510,Mob Psycho 100 II,TV,13,Jan 2019 - Apr 2019,"1,631,811 members",8.78
263,Hajime no Ippo,TV,75,Oct 2000 - Mar 2002,"645,202 members",8.78
40028,Shingeki no Kyojin: The Final Season,TV,16,Dec 2020 - Mar 2021,"2,143,059 members",8.78
199,Sen to Chihiro no Kamikakushi,Movie,1,Jul 2001 - Jul 2001,"1,942,373 members",8.77
37521,Vinland Saga,TV,24,Jul 2019 - Dec 2019,"1,664,981 members",8.77
32935,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,TV,10,Oct 2016 - Dec 2016,"1,268,832 members",8.77
51009,Jujutsu Kaisen 2nd Season,TV,23,Jul 2023 - Dec 2023,"1,173,846 members",8.76
17074,Monogatari Series: Second Season,TV,26,Jul 2013 - Dec 2013,"696,097 members",8.76
48583,Shingeki no Kyojin: The Final Season Part 2,TV,12,Jan 2022 - Apr 2022,"1,427,072 members",8.76
47917,Bocchi the Rock!,TV,12,Oct 2022 - Dec 2022,"686,145 members",8.75
55690,Boku no Kokoro no Yabai Yatsu 2nd Season,TV,13,Jan 2024 - Mar 2024,"257,197 members",8.75
1,Cowboy Bebop,TV,26,Apr 1998 - Apr 1999,"1,960,982 members",8.75
2921,Ashita no Joe 2,TV,47,Oct 1980 - Aug 1981,"59,909 members",8.74
52198,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Movie,1,Dec 2022 - Dec 2022,"324,040 members",8.74
50160,Kingdom 4th Season,TV,26,Apr 2022 - Oct 2022,"77,193 members",8.73
21,One Piece,TV,?,Oct 1999 -,"2,515,761 members",8.73
44074,Shiguang Dailiren,ONA,11,Apr 2021 - Jul 2021,"428,726 members",8.73
45649,The First Slam Dunk,Movie,1,Dec 2022 - Dec 2022,"63,157 members",8.73
47778,Kimetsu no Yaiba: Yuukaku-hen,TV,11,Dec 2021 - Feb 2022,"1,587,476 members",8.72
53223,Kingdom 5th Season,TV,13,Jan 2024 - Mar 2024,"48,595 members",8.72
24701,Mushishi Zoku Shou 2nd Season,TV,10,Oct 2014 - Dec 2014,"279,973 members",8.72
39894,Hibike! Euphonium 3,TV,13,Apr 2024 - Jun 2024,"84,239 members",8.72
48569,86 Part 2,TV,12,Oct 2021 - Mar 2022,"572,392 members",8.71
52215,Chi. Chikyuu no Undou ni Tsuite,TV,25,Oct 2024 - Mar 2025,"183,241 members",8.71
50172,Mob Psycho 100 III,TV,12,Oct 2022 - Dec 2022,"773,394 members",8.71
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA,4,Feb 1999 - Sep 1999,"285,224 members",8.7
33095,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV,12,Jan 2017 - Mar 2017,"195,067 members",8.7
